country_iso3,country_name,year_ref,cloud_regions_total,cloud_regions_domestic,colocation_per_million,colocation_datacenters,population,grid_reliability,internet_penetration,bandwidth_per_user,exposure_raw,oadr_raw,balance_raw,is_federal_system,balance_raw_unknown_zero,balance_high_10,balance_high_15,balance_high_20,log_gdp_per_capita,wb_regulatory_quality,cloud_regions_total_winsor,cloud_regions_total_norm,colocation_per_million_winsor,colocation_per_million_norm,grid_reliability_winsor,grid_reliability_norm,internet_penetration_winsor,internet_penetration_norm,bandwidth_per_user_winsor,bandwidth_per_user_norm,exposure_raw_winsor,exposure_raw_norm,oadr_raw_winsor,oadr_raw_norm,oadr_norm,build_supply,build_access,hazard,break_displacement,break_shortage,sovereignty_s,balance_supply,balance_access,risk_supply,risk_access,risk,partial_observation,risk_viz,observed_core_count,observed_core_total,observed_core_pct,clustering_eligible,risk_rank,cluster_label,cluster_k,is_medoid,membership_stability,membership_change_rate,typology_unstable
COL,Colombia,2023,0.0,0.0,0.7836218896709308,41.0,52321152.0,92.21230214296116,77.3369,199.7,0.255,13.3883569844965,0.1387,False,0.1387,,,,9.963941631317754,0.101034268736839,0.0,0.0,0.7836218896709308,0.04900092372296392,92.21230214296116,0.79901060714597,77.3369,0.742226737741832,199.7,0.5757935051899652,0.255,0.5080505936652223,13.3883569844965,0.31329852013903764,0.31329852013903764,0.2826705102896447,0.6590101214658985,0.755397904434737,0.3488790945141486,0.15917149915107368,1.0,0.1387,0.1387,0.08493953842228348,0.19802566414009481,0.2661449940545525,False,0.6432395912664209,7,7,1.0,True,13.0,1,5,False,0.7033639143730887,0.29663608562691135,False
CZE,Czechia,2023,0.0,0.0,3.1295902574750727,34.0,10864042.0,96.08851488234376,85.994,87.22,0.2929,32.213467884019,0.4652,False,0.4652,,,,10.928836790987942,1.30448853969574,0.0,0.0,3.1295902574750727,0.20335021073937184,96.08851488234376,0.9881838696170848,85.994,0.8481907589840864,87.22,0.23470832790027024,0.2929,0.7751118627347358,32.213467884019,0.8343292206844979,0.8343292206844979,0.3971780267854856,0.5414495434421783,0.7235757089593975,0.12841338635595417,0.6466984763787815,1.0,0.4652,0.4652,0.027276391246968398,0.0371843067627652,0.06344644431022506,False,0.39884341799802325,7,7,1.0,True,36.0,0,5,False,0.9233128834355828,0.07668711656441718,False
DEU,Germany,2023,7.0,0.0,6.351510632362762,529.0,83287273.0,94.96484534491417,92.4764,101.08,0.3232,36.0064221663456,0.5657,True,0.5657,0.6657,0.6456999999999999,0.6256999999999999,11.18002328473319,1.45697498321533,7.0,0.875,6.351510632362762,0.4153313778823173,94.96484534491417,0.9333447143315,92.4764,0.9275361715703785,101.08,0.2767374935940395,0.3232,0.9886199485607584,36.0064221663456,0.939308449620018,0.939308449620018,0.7412253640712724,0.602136832582209,0.8970431037020107,0.06000087741473046,0.9286190711460279,0.5,0.28285,0.5657,0.03189465259776911,0.01569071103442169,0.0470849138547359,False,0.3610998101222624,7,7,1.0,True,38.0,0,5,False,0.9906542056074766,0.009345794392523366,False
DNK,Denmark,2023,0.0,0.0,8.407668331609202,50.0,5946952.0,94.34068540258508,98.7756,256.74,0.3121,32.4244515147016,0.5638,False,0.5638,,,,11.263082295783702,1.83951985836029,0.0,0.0,8.407668331609202,0.5506130292581392,94.34068540258508,0.9028834418129583,98.396585,1.0,256.74,0.748762019704583,0.3121,0.9104041151393442,32.4244515147016,0.8401687054814223,0.8401687054814223,0.48449882369036584,0.8743810098522915,0.935243262812028,0.14551106825776164,0.7648930468815826,1.0,0.5638,0.5638,0.030752074440779886,0.055498648479209184,0.08454402435059372,False,0.43889534253557494,7,7,1.0,True,33.0,0,5,False,1.0,0.0,False
EGY,Egypt,2023,0.0,0.0,0.1135016578052139,13.0,114535772.0,80.1296890252406,72.6899,91.25,0.248,7.93940459919248,0.2319,False,0.2319,,,,9.826867775351692,-0.665456295013428,0.0,0.0,0.1135016578052139,0.0049114204614354295,80.1296890252406,0.20933519551736138,72.6899,0.6853468580231322,91.25,0.2469289294692378,0.248,0.4587252933093754,7.93940459919248,0.16248551862700816,0.16248551862700816,0.07141553865959893,0.46613789374618503,0.5042639436342493,0.3841890761186751,0.0745362171907003,1.0,0.2319,0.2319,0.021074413327320123,0.13755525512672373,0.15573077215215825,False,0.5380114011027588,7,7,1.0,True,24.0,1,5,False,0.9131736526946108,0.08682634730538918,False
ESP,Spain,2023,3.0,0.0,2.9781276379179182,144.0,48352528.0,91.44291311039598,95.4456,255.02,0.2963,31.2519979239585,0.5547,False,0.5547,,,,10.927416528759066,0.693764328956604,3.0,0.375,2.9781276379179182,0.19338496668104446,91.44291311039598,0.7614616274625087,95.4456,0.9638795627605579,255.02,0.743546279084577,0.2963,0.7990698657647186,31.2519979239585,0.8077182025865144,0.8077182025865144,0.443282198047851,0.8537129209225675,0.9185593788820116,0.15364659004819275,0.6454232757165258,0.5,0.27735,0.5547,0.049218822989688035,0.058410036258780496,0.10475398601302632,False,0.47140065951526633,7,7,1.0,True,30.0,0,5,True,0.9968454258675079,0.003154574132492094,False
ETH,Ethiopia,2023,0.0,0.0,0.0388525469072238,5.0,128691692.0,76.94082362440881,16.6981,9.82,0.1829,5.51886869123526,0.1944,True,0.1944,0.2944,0.2744,0.2543999999999999,8.026465912667827,-1.0210794210434,0.0,0.0,0.0388525469072238,0.0,76.94082362440881,0.053706980035903025,16.6981,0.0,9.82,0.0,0.1829,0.0,5.51886869123526,0.09549130400857624,0.09549130400857624,0.017902326678634343,0.0,0.01790232667863434,0.0,0.0,1.0,0.1944,0.1944,0.0,0.0,0.0,False,0.0,7,7,1.0,True,45.0,3,5,False,0.9525222551928784,0.047477744807121636,False
EU,European Union,2023,31.0,0.0,5.36664141457947,2057.0,383293729.0,93.71660492338368,90.66070581333904,188.7838662187453,0.3099417625749885,34.22862372801874,0.7322,False,0.7322,,,,11.06477790287201,1.2986375944955009,8.0,1.0,5.36664141457947,0.35053346174010364,93.71660492338368,0.8724260473837069,90.66070581333904,0.9053118404011903,188.7838662187453,0.542691341017692,0.3099417625749885,0.8951961566782126,34.22862372801874,0.8901035567142576,0.8901035567142576,0.7409865030412702,0.7240015907094411,0.9285126868546056,0.09837887366200179,0.7968172830162108,0.5,0.3661,0.7322,0.046209672996320734,0.019074446262091278,0.06440269533405496,False,0.40083719515084115,7,7,1.0,True,35.0,0,5,False,0.9707792207792207,0.02922077922077926,False
FIN,Finland,2023,1.0,0.0,8.59612554712996,48.0,5583911.0,96.43855776306108,93.5139,157.81,0.3018,38.3460525556987,0.6302,False,0.6302,,,,11.05745560596384,1.76514935493469,1.0,0.125,8.59612554712996,0.5630122743834916,96.3306306788478,1.0,93.5139,0.9402353054649668,157.81,0.4487659618341213,0.3018,0.8378254589014554,38.19923952887534,1.0,1.0,0.5626707581278305,0.6945006336495441,0.866396193721527,0.0,0.8378254589014554,0.5,0.3151,0.6302,0.0,0.0,0.0,False,0.0,7,7,1.0,True,45.0,0,5,False,0.9496644295302014,0.05033557046979864,False
FRA,France,2023,4.0,0.0,4.7095105171706555,322.0,68372286.0,93.0415097211125,86.8364,332.74,0.3116,35.3839754108932,0.4802,False,0.4802,,,,11.01598535094978,1.15350544452667,4.0,0.5,4.7095105171706555,0.30729857124307597,93.0415097211125,0.8394789491517926,86.8364,0.8585018437000392,332.74,0.9792249773327554,0.3116,0.9068808793996408,35.3839754108932,0.9220807227409249,0.9220807227409249,0.5489258401316229,0.9188634105163973,0.9634013810640986,0.07066350268289447,0.8362173767167463,0.5,0.2401,0.4802,0.029475778256149106,0.03375066965718944,0.06223162065852672,False,0.39628141378877274,7,7,1.0,True,37.0,0,5,False,0.9873015873015873,0.012698412698412653,False
